,address,apartment_size,begin_date,category,created_at,district1,id,latitude,longitude,name,normalized_price,number_of_bedrooms,occupied_dates,provider_code,city_code
1531,Gijsbrecht van Aemstelstraat,130.0,2018-02-16,apartment,2018-02-07T06:56:14,amsterdam-oost,1007905,52.35336097,4.91154081,3 rooms apartment in Gijsbrecht van Aemstelstraat,2750.0,3,[],pararius,amsterdam
1532,Nieuwe Keizersgracht,52.0,2018-02-16,apartment,2018-01-27T06:54:07,amsterdam-centrum,963158,52.36479369,4.90495824,2 rooms apartment in Nieuwe Keizersgracht,1595.0,2,[],pararius,amsterdam
1544,Jan Olphert Vaillantlaan,60.0,2018-02-16,apartment,2018-02-09T06:06:54,amsterdam-oost,1015482,52.36226591,4.97840515,2 rooms apartment in Jan Olphert Vaillantlaan,1450.0,2,[],pararius,amsterdam
1547,Breughelstraat,75.0,2018-02-16,apartment,2018-02-02T06:25:23,amsterdam-zuid,992484,52.35024387,4.87739144,2 rooms apartment in Breughelstraat,1600.0,2,[],pararius,amsterdam
1549,Borgerstraat,55.0,2018-02-16,apartment,2018-02-01T06:30:19,amsterdam-west,987310,52.36551258,4.86877379,2 rooms apartment in Borgerstraat,1500.0,2,[],pararius,amsterdam
1567,Marco Polostraat,70.0,2018-02-16,apartment,2018-02-04T06:44:41,amsterdam-west,1000906,52.36606926,4.85647822,3 rooms apartment in Marco Polostraat,1750.0,3,[],pararius,amsterdam
1569,Singel 37,80.0,2018-02-16,apartment,2017-10-21T08:10:32,amsterdam-centrum,616791,52.37716417,4.89270785,2 rooms apartment in Singel 37,1850.0,2,[],pararius,amsterdam
1572,Minervaplein 42,120.0,2018-02-16,apartment,2018-01-14T12:55:34,amsterdam-zuid,915309,52.34625574,4.87172839,3 rooms apartment in Minervaplein 42,2150.0,3,[],pararius,amsterdam
1574,Sint Jacobsstraat,70.0,2018-02-16,apartment,2017-10-21T06:56:21,amsterdam-centrum,612357,52.37644733,4.89538864,2 rooms apartment in Sint Jacobsstraat,1650.0,2,[],pararius,amsterdam
1578,Koninginneweg,75.0,2018-02-16,apartment,2018-01-10T14:32:10,amsterdam-zuid,899611,52.35268199,4.86151136,2 rooms apartment in Koninginneweg,1650.0,2,[],pararius,amsterdam
